model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Brand
Q3,2016,15000,Manual,39134,Diesel,30,60.1,2.0,Audi
A3,2015,15000,Automatic,56291,Petrol,200,42.8,1.8,Audi
A6,2016,16000,Automatic,47767,Diesel,20,61.4,2.0,Audi
A1,2014,11000,Manual,34315,Petrol,125,53.3,1.4,Audi
A3,2016,10200,Manual,66369,Diesel,0,83.1,1.6,Audi
A6,2016,18500,Manual,34110,Diesel,30,61.4,2.0,Audi
A1,2013,7000,Manual,76269,Diesel,0,74.3,1.6,Audi
A3,2016,10600,Manual,37840,Diesel,20,70.6,1.6,Audi
A3,2017,16000,Manual,26249,Diesel,30,67.3,1.6,Audi
Q3,2017,15000,Manual,44898,Diesel,125,57.7,2.0,Audi
Q3,2017,14000,Manual,67161,Petrol,150,51.4,1.4,Audi
A3,2018,18950,Manual,17992,Petrol,150,54.3,1.5,Audi
A4,2016,10200,Manual,97440,Diesel,20,70.6,2.0,Audi
A1,2017,11700,Manual,19268,Petrol,150,67.3,1.0,Audi
A3,2013,11500,Automatic,51441,Petrol,125,50.4,1.8,Audi
A1,2016,10800,Manual,18181,Petrol,0,67.3,1.0,Audi
A3,2016,12500,Manual,19494,Diesel,30,67.3,2.0,Audi
A6,2016,16600,Manual,32808,Diesel,30,61.4,2.0,Audi
A3,2017,13100,Manual,25965,Diesel,145,65.7,2.0,Audi
A3,2016,8300,Manual,88215,Diesel,20,68.9,2.0,Audi
A3,2019,16000,Manual,5704,Petrol,145,49.6,1.0,Audi
A4,2017,16900,Manual,10959,Petrol,145,51.4,1.4,Audi
Q3,2017,21800,Automatic,19319,Petrol,145,40.4,2.0,Audi
A6,2017,16200,Manual,22582,Diesel,145,61.4,2.0,Audi
Q3,2016,16100,Manual,16666,Diesel,30,60.1,2.0,Audi
A3,2016,11300,Manual,25626,Diesel,0,74.3,1.6,Audi
A3,2016,14100,Manual,10460,Petrol,20,60.1,1.4,Audi
A6,2016,16600,Automatic,43307,Diesel,125,57.6,2.0,Audi
A1,2017,11300,Manual,29327,Petrol,30,55.4,1.4,Audi
Q3,2017,15600,Manual,36714,Petrol,125,51.4,1.4,Audi
A1,2014,10000,Manual,28324,Petrol,125,53.3,1.4,Audi
A1,2016,14500,Manual,12100,Petrol,30,56.5,1.4,Audi
Q3,2017,16100,Manual,18001,Diesel,145,62.8,2.0,Audi
A1,2016,10600,Manual,28760,Petrol,30,55.4,1.4,Audi
A3,2019,25499,Semi-Auto,4000,Petrol,145,44.1,1.5,Audi
A6,2016,15500,Automatic,24744,Diesel,125,56.5,3.0,Audi
Q3,2015,16200,Automatic,30075,Diesel,160,51.4,2.0,Audi
A1,2017,14000,Manual,12577,Petrol,30,58.9,1.4,Audi
A6,2016,17300,Automatic,24421,Diesel,30,61.4,2.0,Audi
A1,2016,10600,Manual,15567,Diesel,0,76.3,1.6,Audi
A4,2018,17500,Manual,15207,Petrol,145,51.4,1.4,Audi
A4,2017,15000,Manual,14864,Petrol,145,52.3,1.4,Audi
A4,2019,25499,Semi-Auto,9000,Petrol,145,38.7,2.0,Audi
A4,2019,25000,Manual,5000,Petrol,145,38.7,2.0,Audi
Q3,2019,28000,Manual,4000,Diesel,145,42.8,2.0,Audi
Q3,2019,28000,Manual,4000,Petrol,145,42.2,1.5,Audi
A4,2017,17000,Manual,14068,Petrol,145,51.4,1.4,Audi
A4,2017,14500,Manual,23092,Petrol,145,52.3,1.4,Audi
Q3,2017,17500,Automatic,30682,Diesel,160,50.4,2.0,Audi
A1,2016,10500,Manual,18272,Petrol,0,67.3,1.0,Audi
A6,2016,12000,Automatic,71311,Diesel,30,61.4,2.0,Audi
A6,2018,22000,Automatic,29477,Diesel,145,61.4,2.0,Audi
A6,2017,19800,Automatic,42071,Diesel,30,61.4,2.0,Audi
A1,2016,9800,Manual,36462,Diesel,0,76.3,1.6,Audi
A3,2016,15500,Manual,25376,Petrol,30,57.6,1.4,Audi
A4,2017,16800,Automatic,39388,Diesel,145,67.3,2.0,Audi
A3,2017,11500,Manual,64207,Diesel,20,67.3,2.0,Audi
A1,2017,12100,Manual,49221,Petrol,145,55.4,1.4,Audi
A1,2017,12700,Manual,27179,Diesel,0,76.3,1.6,Audi
A4,2014,11700,Manual,31376,Diesel,125,58.9,2.0,Audi
A4,2017,17400,Manual,10001,Petrol,145,51.4,1.4,Audi
A6,2016,16000,Automatic,52544,Diesel,30,61.4,2.0,Audi
A4,2016,13100,Manual,63097,Petrol,125,49.6,2.0,Audi
A6,2016,14700,Manual,72967,Diesel,30,61.4,2.0,Audi
Q3,2018,24400,Automatic,13303,Petrol,145,40.4,2.0,Audi
A3,2019,18750,Manual,2752,Petrol,145,44.8,1.5,Audi
Q3,2016,16500,Manual,23307,Diesel,160,49.6,2.0,Audi
A1,2017,11000,Manual,34551,Petrol,150,67.3,1.0,Audi
A3,2017,13400,Manual,25457,Diesel,150,68.9,1.6,Audi
A6,2015,15400,Automatic,23237,Diesel,20,67.3,2.0,Audi
Q3,2016,15500,Automatic,11863,Diesel,160,50.4,2.0,Audi
A4,2017,14800,Manual,21225,Diesel,145,72.4,2.0,Audi
A6,2015,17100,Automatic,32083,Diesel,30,61.4,2.0,Audi
A4,2016,11750,Manual,72026,Diesel,0,74.3,2.0,Audi
A1,2017,11200,Manual,34824,Petrol,0,67.3,1.0,Audi
A1,2017,12800,Manual,20351,Petrol,30,55.4,1.4,Audi
A4,2017,16000,Automatic,58028,Petrol,145,52.3,2.0,Audi
A4,2014,11950,Manual,60604,Diesel,20,67.3,2.0,Audi
A4,2013,9400,Manual,39998,Diesel,30,65.7,2.0,Audi
A4,2017,20000,Automatic,20852,Diesel,30,65.7,2.0,Audi
A6,2016,13300,Manual,79728,Diesel,30,64.2,2.0,Audi
A6,2017,18500,Automatic,29095,Diesel,20,64.2,2.0,Audi
A3,2013,8300,Manual,98940,Diesel,0,74.3,1.6,Audi
A1,2016,13500,Manual,22780,Petrol,30,58.9,1.4,Audi
Q3,2016,15400,Automatic,29196,Diesel,145,55.4,2.0,Audi
A4,2017,13900,Manual,14392,Petrol,145,53.3,1.4,Audi
A4,2018,15600,Manual,20070,Petrol,145,52.3,1.4,Audi
A6,2016,16200,Automatic,89334,Diesel,30,62.8,3.0,Audi
A1,2016,10600,Manual,21428,Petrol,0,67.3,1.0,Audi
A4,2016,14300,Manual,45485,Diesel,20,70.6,2.0,Audi
Q3,2016,14700,Manual,32704,Diesel,30,60.1,2.0,Audi
Q3,2018,19100,Automatic,42209,Petrol,145,42.2,2.0,Audi
A4,2017,18100,Manual,17278,Petrol,145,48.7,1.4,Audi
A1,2017,11400,Manual,29515,Petrol,0,67.3,1.0,Audi
A3,2014,11600,Manual,43662,Diesel,20,67.3,2.0,Audi
A4,2017,17300,Automatic,45225,Diesel,145,62.8,2.0,Audi
A6,2017,16400,Manual,45491,Diesel,30,61.4,2.0,Audi
A3,2014,11498,Semi-Auto,40807,Petrol,125,50.4,1.8,Audi
Q3,2014,11698,Manual,65959,Diesel,160,49.6,2.0,Audi
A4,2013,10498,Manual,31169,Petrol,145,49.6,1.8,Audi
A4,2013,9498,Automatic,42011,Petrol,145,47.1,2.0,Audi
A6,2015,19998,Semi-Auto,56115,Diesel,160,50.4,3.0,Audi
A6,2015,16798,Semi-Auto,65835,Diesel,125,61.4,2.0,Audi
A6,2017,23998,Semi-Auto,63383,Diesel,145,45.6,3.0,Audi
A4,2015,15995,Manual,38787,Diesel,145,55.4,2.0,Audi
A1,2017,13495,Manual,34554,Petrol,150,55.4,1.4,Audi
A6,2015,16985,Manual,34646,Diesel,30,61.4,2.0,Audi
Q3,2018,23985,Semi-Auto,17085,Petrol,150,47.9,1.4,Audi
A1,2017,12485,Manual,48166,Diesel,20,72.4,1.6,Audi
A3,2016,11998,Manual,24468,Diesel,0,74.3,1.6,Audi
A3,2019,17985,Manual,8449,Diesel,145,51.4,1.6,Audi
A3,2018,16985,Semi-Auto,23860,Petrol,145,60.1,1.0,Audi
A4,2018,30985,Automatic,21009,Petrol,145,35.8,3.0,Audi
A6,2019,29985,Automatic,1881,Diesel,145,47.9,2.0,Audi
A6,2019,27985,Semi-Auto,688,Diesel,145,47.9,2.0,Audi
A6,2019,30985,Automatic,1863,Diesel,145,47.9,2.0,Audi
A4,2019,28985,Semi-Auto,1024,Petrol,145,38.7,2.0,Audi
A4,2019,24985,Semi-Auto,448,Petrol,145,39.8,2.0,Audi
A4,2019,26985,Semi-Auto,476,Petrol,145,39.2,2.0,Audi
A3,2019,21985,Semi-Auto,2028,Petrol,145,42.2,1.5,Audi
A6,2019,45485,Automatic,3241,Diesel,145,39.2,3.0,Audi
A3,2019,29985,Automatic,3122,Petrol,145,41.5,1.5,Audi
A6,2019,31985,Semi-Auto,2811,Diesel,145,47.9,2.0,Audi
A6,2019,31985,Semi-Auto,27,Diesel,145,50.4,2.0,Audi
A4,2019,29485,Semi-Auto,4254,Petrol,145,38.2,2.0,Audi
A1,2019,17985,Semi-Auto,2252,Petrol,145,48.7,1.0,Audi
A4,2019,27985,Semi-Auto,7299,Petrol,145,38.2,2.0,Audi
A4,2020,31985,Semi-Auto,10,Petrol,145,42.2,2.0,Audi
A1,2015,12485,Semi-Auto,26625,Petrol,30,57.6,1.4,Audi
Q3,2019,34985,Automatic,10,Diesel,145,47.1,2.0,Audi
Q3,2019,34485,Automatic,10,Diesel,145,47.1,2.0,Audi
A1,2019,19685,Manual,10,Petrol,145,49.6,1.0,Audi
A4,2019,34985,Automatic,10,Diesel,145,53.3,2.0,Audi
A6,2019,35895,Automatic,2000,Diesel,145,47.9,2.0,Audi
A6,2019,46985,Automatic,3510,Diesel,145,36.2,3.0,Audi
A3,2019,23985,Automatic,10,Petrol,145,44.8,1.5,Audi
A6,2019,28985,Semi-Auto,500,Diesel,145,47.9,2.0,Audi
A4,2019,29985,Automatic,10,Petrol,145,42.8,2.0,Audi
A3,2019,21995,Manual,10,Diesel,145,54.3,1.6,Audi
A3,2019,21285,Manual,10,Diesel,145,51.4,1.6,Audi
A4,2016,18498,Semi-Auto,29845,Petrol,160,45.6,2.0,Audi
A3,2014,14995,Semi-Auto,27355,Petrol,160,42.8,1.8,Audi
A4,2016,17998,Manual,20885,Diesel,30,64.2,2.0,Audi
A3,2014,10985,Automatic,10534,Petrol,30,56.5,1.2,Audi
A3,2016,12995,Manual,25895,Diesel,20,70.6,2.0,Audi
A1,2016,11495,Manual,32867,Petrol,0,67.3,1.0,Audi
A6,2015,18998,Semi-Auto,49039,Diesel,160,50.4,3.0,Audi
A4,2017,17698,Manual,18761,Petrol,145,51.4,1.4,Audi
Q3,2019,31985,Manual,10,Diesel,145,42.8,2.0,Audi
A4,2019,30995,Automatic,10,Petrol,145,38.7,2.0,Audi
A3,2017,18998,Semi-Auto,22295,Petrol,30,56.5,1.4,Audi
A3,2018,19995,Manual,25000,Petrol,150,42.2,1.5,Audi
A4,2019,32485,Automatic,10,Diesel,145,50.4,2.0,Audi
A1,2019,20485,Manual,10,Petrol,145,48.7,1.0,Audi
Q3,2019,34485,Automatic,10,Diesel,145,47.1,2.0,Audi
Q3,2016,18698,Manual,26474,Diesel,145,52.3,2.0,Audi
Q3,2019,35985,Automatic,650,Diesel,145,47.1,2.0,Audi
A4,2019,18998,Manual,2928,Petrol,145,41.5,2.0,Audi
Q3,2018,19485,Manual,7157,Petrol,145,51.4,1.4,Audi
Q3,2016,19995,Semi-Auto,31600,Diesel,160,50.4,2.0,Audi
A3,2019,23485,Manual,10,Diesel,145,56.5,2.0,Audi
A6,2018,28985,Semi-Auto,10,Diesel,145,50.4,2.0,Audi
A6,2018,26995,Semi-Auto,15600,Diesel,145,50.4,2.0,Audi
A6,2019,33985,Automatic,5429,Diesel,145,47.9,2.0,Audi
A1,2017,12698,Manual,11017,Petrol,150,67.3,1.0,Audi
Q3,2017,17298,Manual,16908,Petrol,125,51.4,1.4,Audi
A4,2017,16498,Manual,28801,Petrol,125,49.6,2.0,Audi
A4,2017,16798,Manual,23362,Petrol,145,50.4,1.4,Audi
A6,2018,27985,Semi-Auto,1790,Diesel,145,50.4,2.0,Audi
A4,2018,19485,Semi-Auto,10,Petrol,145,53.3,1.4,Audi
A4,2018,20985,Manual,10,Petrol,145,52.3,1.4,Audi
A3,2018,22285,Automatic,6754,Diesel,145,52.3,1.6,Audi
Q3,2014,14500,Semi-Auto,35423,Diesel,200,47.9,2.0,Audi
A3,2017,25000,Semi-Auto,16703,Petrol,200,41.5,2.0,Audi
Q3,2017,15800,Manual,37203,Petrol,125,51.4,1.4,Audi
A3,2013,13500,Semi-Auto,44405,Diesel,125,58.9,2.0,Audi
Q3,2014,12000,Manual,79389,Diesel,165,50.4,2.0,Audi
A3,2015,13800,Semi-Auto,61808,Diesel,125,57.6,2.0,Audi
A1,2016,11000,Manual,10491,Petrol,0,67.3,1.0,Audi
A3,2018,19995,Manual,19000,Petrol,150,49.6,2.0,Audi
A1,2016,11650,Manual,18900,Petrol,0,67.3,1.0,Audi
A3,2014,11850,Manual,50900,Diesel,20,68.9,2.0,Audi
A6,2013,12495,Manual,49000,Diesel,325,29.7,2.0,Audi
A1,2015,15995,Manual,23081,Petrol,235,39.8,2.0,Audi
A4,2019,25990,Semi-Auto,5987,Petrol,145,38.2,2.0,Audi
A6,2019,30995,Semi-Auto,2977,Diesel,145,47.9,2.0,Audi
Q3,2019,31995,Manual,3055,Diesel,145,42.8,2.0,Audi
A4,2019,29985,Automatic,22,Petrol,145,38.7,2.0,Audi
A4,2019,28485,Automatic,2250,Diesel,145,51.4,2.0,Audi
A3,2014,16485,Manual,25764,Petrol,200,40.4,2.0,Audi
A1,2015,13495,Manual,17152,Petrol,30,56.5,1.4,Audi
A3,2016,14995,Manual,29775,Petrol,20,60.1,1.4,Audi
A1,2017,12495,Manual,20670,Petrol,30,57.6,1.4,Audi
A3,2019,24985,Automatic,2257,Diesel,145,52.3,1.6,Audi
A3,2019,24485,Manual,4039,Diesel,145,51.4,1.6,Audi
A3,2016,16485,Manual,21241,Petrol,125,52.3,1.4,Audi
Q3,2016,20485,Manual,16945,Diesel,160,49.6,2.0,Audi
A4,2018,24985,Automatic,18010,Petrol,145,49.6,1.4,Audi
A4,2017,19995,Semi-Auto,29653,Diesel,145,62.8,2.0,Audi
Q3,2014,14998,Semi-Auto,33842,Diesel,200,47.9,2.0,Audi
A3,2015,13995,Manual,42977,Diesel,20,67.3,2.0,Audi
A4,2019,27990,Semi-Auto,26,Diesel,145,47.9,2.0,Audi
A1,2016,11995,Manual,17454,Petrol,0,67.3,1.0,Audi
A3,2018,15995,Manual,17547,Petrol,150,56.5,1.5,Audi
A3,2020,35995,Semi-Auto,314,Petrol,150,34.9,2.0,Audi
A1,2016,13585,Manual,25010,Petrol,30,58.9,1.4,Audi
A6,2019,31985,Semi-Auto,3278,Diesel,145,47.9,2.0,Audi
A6,2019,30985,Automatic,4445,Diesel,145,47.9,2.0,Audi
A4,2020,34798,Semi-Auto,6998,Petrol,145,38.2,2.0,Audi
A4,2020,40780,Semi-Auto,6746,Diesel,145,45.6,2.0,Audi
A4,2017,18995,Manual,27394,Diesel,30,64.2,2.0,Audi
A1,2016,12995,Manual,29283,Petrol,0,67.3,1.0,Audi
A1,2016,14495,Manual,20905,Petrol,30,56.5,1.4,Audi
A1,2017,12995,Manual,24386,Petrol,0,67.3,1.0,Audi
A3,2019,20985,Semi-Auto,3409,Petrol,145,43.5,1.5,Audi
A4,2015,13995,Manual,27016,Diesel,30,62.8,2.0,Audi
A4,2020,31985,Manual,7456,Petrol,145,40.9,2.0,Audi
A6,2019,29490,Semi-Auto,20,Diesel,145,55.4,3.0,Audi
A4,2019,20495,Semi-Auto,4781,Petrol,150,40.9,2.0,Audi
Q3,2016,21995,Semi-Auto,40254,Petrol,205,40.4,2.0,Audi
Q3,2017,22995,Semi-Auto,20075,Petrol,150,42.2,2.0,Audi
A3,2016,15995,Manual,14401,Petrol,20,60.1,1.0,Audi
A3,2016,19995,Semi-Auto,19430,Petrol,145,47.9,2.0,Audi
A1,2014,11995,Manual,24764,Diesel,0,74.3,1.6,Audi
A1,2014,11995,Manual,26141,Petrol,125,53.3,1.4,Audi
Q3,2020,33462,Semi-Auto,7914,Diesel,145,48.7,2.0,Audi
A4,2019,25990,Manual,4598,Petrol,145,38.2,2.0,Audi
A3,2019,30995,Semi-Auto,4549,Petrol,150,34.5,2.0,Audi
A1,2019,18995,Manual,7564,Petrol,145,51.4,1.0,Audi
A4,2016,19995,Manual,20141,Diesel,30,67.3,2.0,Audi
A3,2016,16995,Manual,16555,Petrol,20,60.1,1.4,Audi
A1,2017,14495,Manual,8608,Petrol,145,67.3,1.0,Audi
Q3,2017,19995,Manual,18380,Petrol,145,49.6,1.4,Audi
Q3,2017,23995,Semi-Auto,27136,Petrol,145,40.4,2.0,Audi
A3,2016,13995,Manual,36409,Petrol,20,60.1,1.4,Audi
A6,2017,27995,Semi-Auto,35219,Diesel,150,50.4,3.0,Audi
A3,2018,17490,Manual,16380,Diesel,145,67.3,1.6,Audi
A3,2015,14990,Semi-Auto,30530,Diesel,30,64.2,2.0,Audi
A3,2017,13995,Manual,36400,Petrol,20,61.4,1.4,Audi
A1,2017,15995,Manual,15187,Diesel,145,76.3,1.6,Audi
A1,2019,23995,Semi-Auto,5356,Petrol,145,44.1,1.5,Audi
A4,2020,31265,Semi-Auto,7963,Petrol,145,41.5,2.0,Audi
A1,2017,13995,Manual,12148,Petrol,145,67.3,1.0,Audi
Q3,2016,18495,Manual,20952,Diesel,145,55.4,2.0,Audi
A6,2019,33490,Semi-Auto,4582,Diesel,145,39.2,3.0,Audi
Q3,2015,17995,Manual,38244,Petrol,145,49.6,1.4,Audi
A3,2019,20995,Manual,3325,Diesel,145,49.6,1.6,Audi
Q3,2017,24995,Semi-Auto,9078,Petrol,145,40.4,2.0,Audi
A1,2017,12995,Manual,22427,Petrol,145,67.3,1.0,Audi
A4,2015,14995,Semi-Auto,41755,Diesel,150,53.3,2.0,Audi
A3,2015,12490,Semi-Auto,35455,Petrol,30,58.9,1.4,Audi
A3,2017,14298,Manual,14607,Petrol,20,60.1,1.0,Audi
A1,2016,11498,Manual,24952,Petrol,30,55.4,1.4,Audi
Q3,2017,19998,Manual,21576,Petrol,145,49.6,1.4,Audi
A4,2017,19995,Semi-Auto,30300,Diesel,30,62.8,2.0,Audi
Q3,2016,19995,Manual,22353,Diesel,160,49.6,2.0,Audi
Q3,2016,19995,Semi-Auto,23205,Diesel,145,55.4,2.0,Audi
A1,2017,13995,Manual,15361,Petrol,30,55.4,1.4,Audi
A6,2019,29995,Semi-Auto,8598,Diesel,145,47.9,2.0,Audi
A3,2019,19990,Semi-Auto,6000,Diesel,145,52.3,1.6,Audi
A3,2019,19990,Semi-Auto,5199,Diesel,145,52.3,1.6,Audi
A1,2018,14995,Manual,15092,Petrol,145,57.7,1.4,Audi
A3,2017,36990,Semi-Auto,3059,Petrol,145,43.5,2.0,Audi
A3,2013,11490,Manual,35804,Petrol,30,54.3,1.4,Audi
A3,2017,18495,Manual,24000,Petrol,30,60.1,1.4,Audi
A3,2019,23995,Semi-Auto,2868,Diesel,145,52.3,1.6,Audi
A4,2019,27990,Semi-Auto,6541,Diesel,145,47.9,2.0,Audi
Q3,2017,18995,Semi-Auto,27057,Petrol,145,47.9,1.4,Audi
A4,2013,12990,Manual,42185,Diesel,145,55.4,2.0,Audi
A6,2015,16995,Semi-Auto,29558,Diesel,20,67.3,2.0,Audi
A6,2019,33298,Semi-Auto,4899,Diesel,145,47.9,2.0,Audi
A3,2017,15995,Manual,17000,Petrol,20,60.1,1.4,Audi
A4,2017,20995,Semi-Auto,51204,Diesel,145,56.5,2.0,Audi
A3,2013,14995,Semi-Auto,38776,Petrol,30,56.5,1.4,Audi
Q3,2017,19995,Manual,21972,Petrol,145,49.6,1.4,Audi
Q3,2015,19995,Semi-Auto,20825,Petrol,145,47.9,1.4,Audi
A1,2015,12995,Manual,20042,Petrol,30,57.6,1.4,Audi
A4,2017,19495,Semi-Auto,31214,Diesel,30,67.3,2.0,Audi
A3,2018,28995,Semi-Auto,17166,Petrol,145,43.5,2.0,Audi
A3,2018,26990,Semi-Auto,18283,Petrol,145,44.1,2.0,Audi
A4,2020,38534,Semi-Auto,7521,Diesel,145,49.6,2.0,Audi
A3,2019,19990,Semi-Auto,6018,Diesel,145,52.3,1.6,Audi
A3,2019,18495,Manual,11330,Petrol,145,42.8,1.5,Audi
A6,2019,33295,Semi-Auto,4196,Diesel,145,47.9,2.0,Audi
A1,2015,13995,Manual,32065,Petrol,30,55.4,1.4,Audi
Q3,2017,16490,Manual,50286,Diesel,145,61.4,2.0,Audi
Q3,2017,23995,Semi-Auto,25667,Petrol,145,40.4,2.0,Audi
Q3,2016,21995,Semi-Auto,28526,Diesel,160,50.4,2.0,Audi
Q3,2017,22995,Manual,14068,Diesel,145,54.3,2.0,Audi
A3,2018,18990,Manual,6321,Petrol,145,50.4,2.0,Audi
A3,2019,23995,Manual,2085,Diesel,145,51.4,1.6,Audi
A6,2019,33410,Semi-Auto,3968,Diesel,145,47.9,2.0,Audi
A3,2015,14995,Manual,50062,Petrol,30,57.6,1.2,Audi
A1,2015,11995,Manual,31500,Petrol,30,57.6,1.4,Audi
A1,2015,12995,Manual,21807,Petrol,30,57.6,1.4,Audi
A6,2019,29990,Semi-Auto,5397,Diesel,145,50.4,2.0,Audi
A3,2019,23377,Manual,4963,Petrol,145,42.8,1.5,Audi
A3,2017,25995,Manual,13688,Petrol,200,40.4,2.0,Audi
A3,2017,18995,Semi-Auto,19735,Petrol,30,57.6,1.4,Audi
Q3,2017,20995,Semi-Auto,22175,Petrol,145,47.9,1.4,Audi
A4,2018,23995,Semi-Auto,13907,Petrol,145,49.6,1.4,Audi
A1,2018,14495,Manual,20106,Petrol,145,67.3,1.0,Audi
A4,2019,26490,Semi-Auto,4836,Diesel,145,48.7,2.0,Audi
A1,2016,14995,Manual,13961,Petrol,30,58.9,1.4,Audi
A6,2019,30990,Semi-Auto,10852,Diesel,145,47.9,2.0,Audi
A3,2019,18490,Manual,10059,Petrol,145,43.5,1.5,Audi
A3,2019,18490,Manual,5985,Petrol,145,43.5,1.5,Audi
A4,2019,26490,Semi-Auto,6214,Petrol,145,38.7,2.0,Audi
A6,2019,29490,Semi-Auto,4982,Diesel,145,47.9,2.0,Audi
A4,2016,17495,Semi-Auto,41505,Diesel,20,67.3,2.0,Audi
Q3,2017,20995,Semi-Auto,26494,Petrol,145,47.9,1.4,Audi
A1,2017,14495,Manual,23655,Petrol,30,55.4,1.4,Audi
A3,2018,19995,Manual,17789,Petrol,145,54.3,1.5,Audi
A6,2019,33640,Semi-Auto,5023,Diesel,145,47.9,2.0,Audi
A6,2019,53939,Semi-Auto,6238,Diesel,145,37.7,3.0,Audi
A4,2019,37560,Semi-Auto,5201,Diesel,145,44.1,2.0,Audi
A1,2017,12495,Manual,25747,Petrol,0,67.3,1.0,Audi
A1,2017,14995,Manual,27000,Petrol,145,55.4,1.4,Audi
A3,2016,13995,Manual,40030,Diesel,0,83.1,1.6,Audi
A6,2016,19495,Semi-Auto,43099,Diesel,145,56.5,2.0,Audi
A4,2016,19995,Semi-Auto,31894,Diesel,30,64.2,3.0,Audi
A1,2017,13995,Manual,25552,Petrol,30,56.5,1.4,Audi
A3,2017,19995,Manual,16103,Diesel,145,65.7,2.0,Audi
A1,2016,13495,Manual,23745,Petrol,30,57.6,1.4,Audi
A1,2014,13995,Semi-Auto,15300,Petrol,125,53.3,1.4,Audi
Q3,2018,25995,Semi-Auto,9185,Petrol,145,48.7,1.4,Audi
A1,2016,10995,Manual,45644,Diesel,0,80.7,1.6,Audi
A1,2015,12298,Manual,15837,Petrol,30,58.9,1.4,Audi
Q3,2016,15998,Manual,15264,Diesel,30,61.4,2.0,Audi
A1,2017,15995,Manual,8128,Petrol,30,55.4,1.4,Audi
A4,2016,13985,Manual,55697,Diesel,20,70.6,2.0,Audi
Q3,2015,13995,Manual,35446,Diesel,145,54.3,2.0,Audi
Q3,2016,18499,Semi-Auto,30366,Diesel,160,50.4,2.0,Audi
Q3,2015,15998,Semi-Auto,19300,Petrol,145,47.9,1.4,Audi
A4,2016,13998,Manual,37478,Diesel,0,74.3,2.0,Audi
A3,2019,24998,Semi-Auto,6266,Petrol,145,38.2,2.0,Audi
A1,2016,13995,Manual,8577,Petrol,30,55.4,1.4,Audi
A3,2018,18995,Manual,13147,Diesel,145,67.3,1.6,Audi
